Unnamed: 0,Name,Symbol,Exchange,Sector,Industry,href
,Escrit Inc,2196,Tokyo,Consumer Non-Cyclicals,Personal & Household Products & Services,/equities/escrit-inc
,IKK Inc,2198,Tokyo,Consumer Non-Cyclicals,Personal & Household Products & Services,/equities/ikk-inc
,Morinaga Co Ltd,2201,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/morinaga-co-ltd
,Nakamuraya Co Ltd,2204,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/nakamuraya-co-ltd
,Ezaki Glico Co Ltd,2206,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/ezaki-glico-co-ltd
,Meito Sangyo Co Ltd,2207,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/meito-sangyo-co-ltd
,Bourbon,2208,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/bourbon-corp
,Imuraya Group,2209,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/imuraya-group-co-ltd
,Fujiya Co Ltd,2211,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/fujiya-co-ltd
,Yamazaki Baking Co Ltd,2212,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/yamazaki-baking-co-ltd
,First Baking Co Ltd,2215,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/first-baking-co-ltd
,Kanro,2216,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/kanro-co-ltd
,Morozoff Ltd,2217,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/morozoff-ltd
,Kameda Seika Co Ltd,2220,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/kameda-seika-co-ltd
,Iwatsuka Confectionery,2221,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/iwatsuka-confectionery-co-ltd
,Kotobuki Spirits,2222,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/kotobuki-spirits
,Como,2224,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/como-co-ltd
,Koikeya,2226,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/koikeya-inc
,Calbee Inc,2229,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/calbee-inc
,Morinaga Milk Industry,2264,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/morinaga-milk-industry
,Rokko Butter Co Ltd,2266,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/rokko-butter-co-ltd
,Yakult Honsha Co Ltd,2267,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/yakult-honsha-co-ltd
,B-R 31 Ice Cream,2268,Tokyo,Consumer Cyclicals,Hotels & Entertainment Services,/equities/b-r-31-ice-cream-co-ltd
,Meiji Holdings,2269,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,"/equities/meiji-holdings-co.,-ltd."
,Megmilk Snow Brand,2270,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/megmilk-snow-brand
,Prima Meat Packers,2281,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/prima-meat-packers
,NH Foods,2282,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,"/equities/nippon-meat-packers,-inc."
,Hayashikane Sangyo,2286,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/hayashikane-sangyo
,Marudai Food Co Ltd,2288,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/marudai-food-co-ltd
,Fukutome Meat Packers,2291,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/fukutome-meat-packers-ltd
,S Foods Inc,2292,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/s-foods-inc
,Takizawa Ham,2293,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/takizawa-ham-co-ltd
,Kakiyasu Honten,2294,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/kakiyasu-honten-co-ltd
,Itoham Yonekyu,2296,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/itoham-yonekyu-holdings-inc
,Kyokuto,2300,Tokyo,Consumer Non-Cyclicals,Personal & Household Products & Services,/equities/kyokuto-co-ltd
,Gakujo Co Ltd,2301,Tokyo,Industrials,Professional & Commercial Services,/equities/gakujo-co-ltd
,Dawn,2303,Tokyo,Technology,Software & IT Services,/equities/dawn-corp
,CSS,2304,Tokyo,Consumer Cyclicals,Media & Publishing,/equities/css-holdings-ltd
,Studio Alice Co Ltd,2305,Tokyo,Consumer Non-Cyclicals,Personal & Household Products & Services,/equities/studio-alice-co-ltd
,Cross Cat,2307,Tokyo,Technology,Software & IT Services,/equities/cross-cat-co-ltd
,CMIC Holdings,2309,Tokyo,Healthcare,Pharmaceuticals,/equities/cmic-holdings
,EPCO,2311,Tokyo,Industrials,Construction & Engineering,/equities/epco-co-ltd
,CAICA,2315,Tokyo,Technology,Software & IT Services,/equities/sji
,Systena Corp,2317,Tokyo,Technology,Software & IT Services,/equities/systena-corp
,Softfront,2321,Tokyo,Technology,Software & IT Services,/equities/softfront-holdings
,Fonfun,2323,Tokyo,Technology,Software & IT Services,/equities/fonfun-corp
,NJS Co Ltd,2325,Tokyo,Industrials,Professional & Commercial Services,/equities/njs-co-ltd
,Digital Arts Inc,2326,Tokyo,Technology,Software & IT Services,/equities/digital-arts-inc
,Ns Solutions Corp,2327,Tokyo,Technology,Software & IT Services,/equities/ns-solutions-corp
,Tohokushinsha Film,2329,Tokyo,Consumer Cyclicals,Media & Publishing,/equities/tohokushinsha-film-corp
,Forside,2330,Tokyo,Consumer Cyclicals,Leisure Products,/equities/forside-co-ltd
