Unnamed: 0,Name,Symbol,Exchange,Sector,Industry,href
,Fujix,3600,Tokyo,Consumer Cyclicals,Textiles & Apparel,/equities/fujix-ltd
,Kawamoto,3604,Tokyo,Healthcare,Healthcare Equipment & Supplies,/equities/kawamoto-corp
,Kuraudia Co Ltd,3607,Tokyo,Consumer Non-Cyclicals,Personal & Household Products & Services,/equities/kuraudia-co-ltd
,TSI Holdings Co Ltd,3608,Tokyo,Consumer Cyclicals,Textiles & Apparel,/equities/tsi-holdings-co-ltd
,Matsuoka,3611,Tokyo,Consumer Cyclicals,Textiles & Apparel,/equities/matsuoka
,World Co,3612,Tokyo,Consumer Cyclicals,Specialty Retailers,/equities/world-co
,Netyear,3622,Tokyo,Technology,Software & IT Services,/equities/netyear
,Billing System,3623,Tokyo,Industrials,Professional & Commercial Services,/equities/billing-system
,Axel Mark,3624,Tokyo,Consumer Cyclicals,Media & Publishing,/equities/axel-mark
,Techfirm,3625,Tokyo,Technology,Software & IT Services,/equities/techfirm-holdings-inc
,TIS,3626,Tokyo,Technology,Software & IT Services,/equities/it-holdings-corp
,Jns Holdings,3627,Tokyo,Technology,Software & IT Services,/equities/neos-corp
,Data Horizon,3628,Tokyo,Healthcare,Healthcare Equipment & Supplies,/equities/data-horizon
,Gree Inc,3632,Tokyo,Technology,Software & IT Services,/equities/gree-inc
,GMO Pepabo,3633,Tokyo,Technology,Software & IT Services,/equities/gmo-pepabo-inc
,Sockets,3634,Tokyo,Technology,Software & IT Services,/equities/sockets
,Koei Tecmo Holdings,3635,Tokyo,Technology,Software & IT Services,/equities/koei-tecmo-holdings
,Mitsubishi Research Inst,3636,Tokyo,Technology,Software & IT Services,/equities/mitsubishi-research-inst
,Voltage Inc,3639,Tokyo,Technology,Software & IT Services,/equities/voltage-inc
,Densan Co Ltd,3640,Tokyo,Technology,Software & IT Services,/equities/densan-co-ltd
,Papyless,3641,Tokyo,Consumer Cyclicals,Diversified Retail,/equities/papyless-co-ltd
,Medical Net,3645,Tokyo,Healthcare,Healthcare Providers & Services,/equities/medical-net
,Ekitan,3646,Tokyo,Technology,Software & IT Services,/equities/ekitan
,G Three,3647,Tokyo,Utilities,Electrical Utilities & IPPs,/equities/g-three-holdings-corp
,AGS Corp,3648,Tokyo,Technology,Software & IT Services,/equities/ags-corp
,Findex Inc,3649,Tokyo,Healthcare,Healthcare Equipment & Supplies,/equities/findex-inc
,Digital Media Professionals,3652,Tokyo,Technology,Semiconductors & Semiconductor Equipment,/equities/digital-media-professionals
,Morpho,3653,Tokyo,Technology,Software & IT Services,/equities/morpho
,BrainPad Inc,3655,Tokyo,Technology,Software & IT Services,/equities/brainpad-inc
,KLab Inc,3656,Tokyo,Technology,Software & IT Services,/equities/klab-inc
,Poletowin Pitcrew,3657,Tokyo,Technology,Software & IT Services,/equities/poletowin-pitcrew
,Nexon Co Ltd,3659,Tokyo,Technology,Software & IT Services,/equities/nexon-co-ltd
,Istyle Inc,3660,Tokyo,Consumer Cyclicals,Diversified Retail,/equities/istyle-inc
,M-up,3661,Tokyo,Technology,Software & IT Services,/equities/m-up-inc
,Ateam Inc,3662,Tokyo,Technology,Software & IT Services,/equities/ateam-inc
,CELSYS,3663,Tokyo,Technology,Software & IT Services,/equities/artspark-holdings-inc
,Mobcast,3664,Tokyo,Consumer Cyclicals,Specialty Retailers,/equities/mobcast
,Enigmo,3665,Tokyo,Technology,Software & IT Services,/equities/enigmo
,Tecnos Japan,3666,Tokyo,Technology,Software & IT Services,/equities/tecnos-japan-inc
,Enish Inc,3667,Tokyo,Technology,Software & IT Services,/equities/enish-inc
,Colopl Inc,3668,Tokyo,Technology,Software & IT Services,/equities/colopl-inc
,Kyoritsu Computer & Communication,3670,Tokyo,Consumer Cyclicals,Specialty Retailers,/equities/kyoritsu-computer-communication-c
,Softmax,3671,Tokyo,Technology,Software & IT Services,/equities/softmax-co
,AltPlus Inc,3672,Tokyo,Technology,Software & IT Services,/equities/altplus-inc
,Broadleaf Co Ltd,3673,Tokyo,Technology,Software & IT Services,/equities/broadleaf-co-ltd
,Aucfan,3674,Tokyo,Technology,Software & IT Services,/equities/aucfan-co-ltd
,Cross Marketing,3675,Tokyo,Consumer Cyclicals,Media & Publishing,/equities/cross-marketing-group-inc
,Hearts United Group,3676,Tokyo,Technology,Software & IT Services,/equities/hearts-united-group
,System Information,3677,Tokyo,Technology,Software & IT Services,/equities/system-information-co-ltd
,Media Do,3678,Tokyo,Consumer Cyclicals,Media & Publishing,/equities/media-do-co-ltd
,Zigexn,3679,Tokyo,Technology,Software & IT Services,/equities/zigexn
,Hotto Link,3680,Tokyo,Consumer Cyclicals,Media & Publishing,/equities/hotto-link-inc
,V-cube,3681,Tokyo,Technology,Software & IT Services,/equities/v-cube-inc
,Encourage Tech,3682,Tokyo,Technology,Software & IT Services,/equities/encourage-technologies-co-ltd
,Cyberlinks,3683,Tokyo,Technology,Software & IT Services,/equities/cyberlinks-co-ltd
,DLE,3686,Tokyo,Consumer Cyclicals,Media & Publishing,/equities/dle-inc
,Fixstars Corporation,3687,Tokyo,Technology,Software & IT Services,/equities/fixstars-corporation
,Carta Holdings,3688,Tokyo,Consumer Cyclicals,Media & Publishing,/equities/voyage-group-inc
,YRGLM,3690,Tokyo,Technology,Software & IT Services,/equities/lockon-co-ltd
,Digital Plus,3691,Tokyo,Technology,Software & IT Services,/equities/realworld-inc
,Ffri,3692,Tokyo,Technology,Software & IT Services,/equities/ffri-inc
,OPTiM,3694,Tokyo,Technology,Software & IT Services,/equities/optim-corp
,Gmo Research,3695,Tokyo,Consumer Cyclicals,Media & Publishing,/equities/gmo-research-inc
,Ceres,3696,Tokyo,Technology,Software & IT Services,/equities/ceres
,Shift,3697,Tokyo,Technology,Software & IT Services,/equities/shift-inc
,Cri Middleware,3698,Tokyo,Technology,Software & IT Services,/equities/cri-middleware-co-ltd
,Tokushu Tokai Paper,3708,Tokyo,Basic Materials,Paper & Forest Products,/equities/tokushu-tokai-paper
,Jorudan,3710,Tokyo,Technology,Software & IT Services,/equities/jorudan-co-ltd
,Information Planning,3712,Tokyo,Technology,Software & IT Services,/equities/information-planning-co-ltd
,Gexeed,3719,Tokyo,Technology,Software & IT Services,/equities/gexeed-co-ltd
,Nihon Falcom,3723,Tokyo,Technology,Software & IT Services,/equities/nihon-falcom
,4Cs,3726,Tokyo,Consumer Cyclicals,Specialty Retailers,/equities/4cs-holdings-co-ltd
,Aplix,3727,Tokyo,Technology,Software & IT Services,/equities/aplix
,Software Service,3733,Tokyo,Technology,Software & IT Services,/equities/software-service-inc
,T Gaia Corp,3738,Tokyo,Consumer Cyclicals,Specialty Retailers,/equities/t-gaia-corp
,Systems Engineering Consultants,3741,Tokyo,Technology,Software & IT Services,/equities/systems-engineering-consultants-co
,SIOS Tech,3744,Tokyo,Technology,Software & IT Services,/equities/sios-technology-inc
,Intertrade,3747,Tokyo,Technology,Financial Technology (Fintech) & Infrastructure,/equities/intertrade-co-ltd
,Cytori Cell Research Institute,3750,Tokyo,Real Estate,Real Estate Operations,/equities/seven-seas-holdings-co-ltd
,Flight,3753,Tokyo,Technology,Software & IT Services,/equities/flight-holdings-inc
,Aeria,3758,Tokyo,Technology,Software & IT Services,/equities/aeria-inc
,Cave Interactive,3760,Tokyo,Technology,Software & IT Services,/equities/cave-interactive-co-ltd
,Techmatrix Corp,3762,Tokyo,Technology,Software & IT Services,/equities/techmatrix-corp
,Pro-Ship,3763,Tokyo,Technology,Software & IT Services,/equities/pro-ship-inc
,GungHo Online Entertainment,3765,Tokyo,Technology,Software & IT Services,/equities/gungho-online-entertainment-inc?cid=976126
,Systems Design,3766,Tokyo,Technology,Software & IT Services,/equities/systems-design-co-ltd
,Riskmonster.com,3768,Tokyo,Technology,Software & IT Services,/equities/riskmonster-com
,GMO Payment Gateway,3769,Tokyo,Industrials,Professional & Commercial Services,/equities/gmo-payment-gateway
,Zappallas Inc,3770,Tokyo,Technology,Software & IT Services,/equities/zappallas-inc
,System Research,3771,Tokyo,Technology,Software & IT Services,/equities/system-research-co-ltd
,Wealth Management,3772,Tokyo,Financials,Investment Banking & Investment Services,/equities/wealth-management-inc
,Advanced Media,3773,Tokyo,Technology,Software & IT Services,/equities/advanced-media
,Internet Initiative Japan Inc,3774,Tokyo,Technology,Telecommunications Services,/equities/internet-initiative-japan-inc
,BroadBand Tower,3776,Tokyo,Technology,Software & IT Services,/equities/broadband-tower-inc
,FHT Holdings,3777,Tokyo,Industrials,Professional & Commercial Services,/equities/geonext-corp
,Sakura Internet,3778,Tokyo,Technology,Software & IT Services,/equities/sakura-internet-inc
,J Escom,3779,Tokyo,Consumer Cyclicals,Specialty Retailers,/equities/j-escom-holdings-inc
,DDS,3782,Tokyo,Technology,Electronic Equipment & Parts,/equities/dds
,VINX,3784,Tokyo,Technology,Software & IT Services,/equities/vinx-corp
,Techno Mathematical,3787,Tokyo,Technology,Software & IT Services,/equities/techno-mathematical-co-ltd
,GMO GlobalSign Holdings KK,3788,Tokyo,Technology,Software & IT Services,/equities/gmo-cloud-kk
,IG Port,3791,Tokyo,Consumer Cyclicals,Media & Publishing,/equities/ig-port-inc
,Drecom,3793,Tokyo,Technology,Software & IT Services,/equities/drecom
,e-Seikatsu,3796,Tokyo,Technology,Software & IT Services,/equities/e-seikatsu-co-ltd
,ULS Group,3798,Tokyo,Technology,Software & IT Services,/equities/uls-group-inc
,Keyware Solutions,3799,Tokyo,Technology,Software & IT Services,/equities/keyware-solutions-inc
,Unirita,3800,Tokyo,Technology,Software & IT Services,/equities/unirita-inc
,Ecomic Co,3802,Tokyo,Industrials,Professional & Commercial Services,/equities/ecomic-co-ltd
,Image Information,3803,Tokyo,Technology,Software & IT Services,/equities/image-information-inc
,System D,3804,Tokyo,Technology,Software & IT Services,/equities/system-d-inc
,Fisco,3807,Tokyo,Industrials,Professional & Commercial Services,/equities/fisco-ltd
,Cyberstep,3810,Tokyo,Technology,Software & IT Services,/equities/cyberstep
,Alphax Food System,3814,Tokyo,Technology,Software & IT Services,/equities/alphax-food-system-co-ltd
,Media Kobo,3815,Tokyo,Technology,Software & IT Services,/equities/media-kobo
,Daiwa Computer,3816,Tokyo,Technology,Software & IT Services,/equities/daiwa-computer-co-ltd
,SRA Holdings Inc,3817,Tokyo,Technology,Software & IT Services,/equities/sra-holdings-inc
,Why How Do,3823,Tokyo,Technology,Software & IT Services,/equities/acrodea
,Remixpoint,3825,Tokyo,Utilities,Electrical Utilities & IPPs,/equities/remixpoint
,System Integrator,3826,Tokyo,Technology,Software & IT Services,/equities/system-integrator
,Asahi Net Inc,3834,Tokyo,Technology,Telecommunications Services,/equities/asahi-net-inc
,eBASE,3835,Tokyo,Technology,Software & IT Services,/equities/ebase-co-ltd
,Avant,3836,Tokyo,Technology,Software & IT Services,/equities/avant-corp
,Ad-Sol Nissin,3837,Tokyo,Technology,Software & IT Services,/equities/ad-sol-nissin-corp
,ODK Solutions,3839,Tokyo,Technology,Software & IT Services,/equities/odk-solutions-co-ltd
,Path,3840,Tokyo,Consumer Non-Cyclicals,Personal & Household Products & Services,/equities/path
,Jedat,3841,Tokyo,Technology,Software & IT Services,/equities/jedat-inc
,Nextgen,3842,Tokyo,Technology,Software & IT Services,/equities/nextgen-inc
,FreeBit,3843,Tokyo,Technology,Telecommunications Services,/equities/freebit-co-ltd
,Comture Corp,3844,Tokyo,Technology,Software & IT Services,/equities/comture-corp
,I-Freek Mobile,3845,Tokyo,Technology,Software & IT Services,/equities/i-freek-mobile-inc
,Pacific Systems,3847,Tokyo,Technology,Software & IT Services,/equities/pacific-systems-corp
,Data Applications,3848,Tokyo,Technology,Software & IT Services,/equities/data-applications-co-ltd
,NTT Data Intramart,3850,Tokyo,Technology,Software & IT Services,/equities/ntt-data-intramart
,Nippon Ichi Software,3851,Tokyo,Technology,Software & IT Services,/equities/nippon-ichi-software-inc
,Cyber Com,3852,Tokyo,Technology,Software & IT Services,/equities/cyber-com-co-ltd
,Asteria,3853,Tokyo,Technology,Software & IT Services,/equities/infoteria
,I’LL,3854,Tokyo,Technology,Software & IT Services,/equities/ill-inc
,Abalance,3856,Tokyo,Energy,Renewable Energy,/equities/abalance
,LAC,3857,Tokyo,Technology,Software & IT Services,/equities/lac-co-ltd
,Ubiquitous,3858,Tokyo,Technology,Software & IT Services,/equities/ubiquitous-corp
,Oji Holdings Corp.,3861,Tokyo,Basic Materials,Paper & Forest Products,/equities/oji-holdings-corp.
,Nippon Paper Industries,3863,Tokyo,Basic Materials,Paper & Forest Products,"/equities/nippon-paper-industries-co.,-ltd."
,Mitsubishi Paper Mills,3864,Tokyo,Basic Materials,Paper & Forest Products,"/equities/mitsubishi-paper-mills,-ltd."
,Hokuetsu Kishu Paper,3865,Tokyo,Basic Materials,Paper & Forest Products,"/equities/hokuetsu-kishu-paper-co.,-ltd."
,Chuetsu Pulp Paper,3877,Tokyo,Basic Materials,Paper & Forest Products,/equities/chuetsu-pulp-paper
,Tomoegawa Co Ltd,3878,Tokyo,Basic Materials,Paper & Forest Products,/equities/tomoegawa-co-ltd
,Daio Paper Corp,3880,Tokyo,Basic Materials,Paper & Forest Products,/equities/daio-paper-corp
,Nippon Kodoshi,3891,Tokyo,Technology,Electronic Equipment & Parts,/equities/nippon-kodoshi-corp
,Okayama Paper Industries,3892,Tokyo,Basic Materials,Paper & Forest Products,/equities/okayama-paper-industries-co-ltd
,Havix,3895,Tokyo,Consumer Cyclicals,Textiles & Apparel,/equities/havix-corp
,Awa Paper Mfg.,3896,Tokyo,Consumer Cyclicals,Automobiles & Auto Parts,/equities/awa-paper-mfg--co-ltd
,Crowdworks,3900,Tokyo,Industrials,Professional & Commercial Services,/equities/crowdworks-inc
,MarkLines,3901,Tokyo,Technology,Software & IT Services,/equities/marklines-co-ltd
,Medical Data Vision,3902,Tokyo,Healthcare,Healthcare Equipment & Supplies,/equities/medical-data-vision-co-ltd
,Gumi Inc,3903,Tokyo,Technology,Software & IT Services,/equities/gumi-inc
,Kayac,3904,Tokyo,Technology,Software & IT Services,/equities/kayac-inc
,Datasection,3905,Tokyo,Technology,Software & IT Services,/equities/datasection-inc
,Silicon Studio Corp,3907,Tokyo,Technology,Software & IT Services,/equities/silicon-studio-corp
,Collabos Corporation,3908,Tokyo,Technology,Software & IT Services,/equities/collabos-corporation
,Showcase-Tv,3909,Tokyo,Technology,Software & IT Services,/equities/showcase-tv-inc
,MKSystem,3910,Tokyo,Technology,Software & IT Services,/equities/mksystem-corp
,Aiming,3911,Tokyo,Technology,Software & IT Services,/equities/aiming-inc
,Mobile Factory,3912,Tokyo,Technology,Software & IT Services,/equities/mobile-factory-inc
,Smedio,3913,Tokyo,Technology,Software & IT Services,/equities/smedio-inc
,Jig-Saw,3914,Tokyo,Technology,Software & IT Services,/equities/jig-saw-inc
,Terrasky,3915,Tokyo,Technology,Software & IT Services,/equities/terrasky-co-ltd
,Digital Information Tech,3916,Tokyo,Technology,Software & IT Services,/equities/digital-information-technologies-co
,Iridge,3917,Tokyo,Technology,Software & IT Services,/equities/iridge-inc
,PCI,3918,Tokyo,Technology,Software & IT Services,/equities/pci-holdings-inc
,Internetworking And Broadband,3920,Tokyo,Technology,Software & IT Services,/equities/internetworking-and-broadband
,NEOJAPAN Inc,3921,Tokyo,Technology,Software & IT Services,/equities/neojapan-inc
,PR Times,3922,Tokyo,Technology,Software & IT Services,/equities/pr-times-inc
,Rakus Co Ltd,3923,Tokyo,Technology,Software & IT Services,/equities/rakus-co-ltd
,R&D Computer Co Ltd,3924,Tokyo,Technology,Software & IT Services,/equities/r-d-computer-co-ltd
,Double Standard Inc,3925,Tokyo,Industrials,Professional & Commercial Services,/equities/double-standard-inc
,Open Door Inc,3926,Tokyo,Technology,Software & IT Services,/equities/open-door-inc
,Fuva Brain,3927,Tokyo,Technology,Software & IT Services,/equities/ahkun-co-ltd
,Mynet Inc,3928,Tokyo,Technology,Software & IT Services,/equities/mynet-inc
,Socialwire Co Ltd,3929,Tokyo,Industrials,Professional & Commercial Services,/equities/socialwire-co-ltd
,Hatena,3930,Tokyo,Technology,Software & IT Services,/equities/hatena-co-ltd
,Value Golf,3931,Tokyo,Consumer Cyclicals,Hotels & Entertainment Services,/equities/value-golf-inc
,Akatsuki Shoji Co,3932,Tokyo,Technology,Software & IT Services,/equities/akatsuki-shoji-co-ltd
,CHIeru Co,3933,Tokyo,Technology,Software & IT Services,/equities/chieru-co-ltd
,Benefit Japan Co,3934,Tokyo,Technology,Telecommunications Services,/equities/benefit-japan-co-ltd
,Edia,3935,Tokyo,Technology,Software & IT Services,/equities/edia-co-ltd
,Globalway,3936,Tokyo,Technology,Software & IT Services,/equities/globalway-inc
,Ubicom Holdings,3937,Tokyo,Technology,Software & IT Services,/equities/aws-holdings-inc
,Kanamic Network,3939,Tokyo,Technology,Software & IT Services,/equities/kanamic-network-co-ltd
,Nomura System,3940,Tokyo,Technology,Software & IT Services,/equities/nomura-system-corporation-co-ltd
,Rengo Co Ltd,3941,Tokyo,Basic Materials,Containers & Packaging,/equities/rengo-co-ltd
,Ohishi Sangyo,3943,Tokyo,Basic Materials,Containers & Packaging,/equities/ohishi-sangyo
,Furubayashi Shiko,3944,Tokyo,Basic Materials,Containers & Packaging,/equities/furubayashi-shiko-co-ltd
,Superbag,3945,Tokyo,Basic Materials,Containers & Packaging,/equities/superbag-co-ltd
,Tomoku Co Ltd,3946,Tokyo,Basic Materials,Containers & Packaging,/equities/tomoku-co-ltd
,Dynapac,3947,Tokyo,Basic Materials,Containers & Packaging,/equities/dynapac-co-ltd
,Hikari Business Form,3948,Tokyo,Industrials,Professional & Commercial Services,/equities/hikari-business-form-co-ltd
,Pack Corp,3950,Tokyo,Basic Materials,Containers & Packaging,/equities/pack-corp
,Asahi Printing,3951,Tokyo,Basic Materials,Containers & Packaging,/equities/asahi-printing-co-ltd
,Ohmura Shigyo,3953,Tokyo,Basic Materials,Containers & Packaging,/equities/ohmura-shigyo-co-ltd
,Showa Paxxs,3954,Tokyo,Basic Materials,Containers & Packaging,/equities/showa-paxxs-corp
,Imura Envelope Co,3955,Tokyo,Basic Materials,Paper & Forest Products,/equities/imura-envelope-co-inc
,Silver Egg Tech,3961,Tokyo,Consumer Cyclicals,Media & Publishing,/equities/silver-egg-technology-co-ltd
,Change,3962,Tokyo,Technology,Software & IT Services,/equities/change-inc
,Synchro Food,3963,Tokyo,Technology,Software & IT Services,/equities/synchro-food-co-ltd
,Aucnet,3964,Tokyo,Technology,Software & IT Services,/equities/aucnet-inc
,Capital Asset Planning,3965,Tokyo,Technology,Software & IT Services,/equities/capital-asset-planning-inc
,Eltes Co Ltd,3967,Tokyo,Industrials,Professional & Commercial Services,/equities/eltes-co-ltd
,Segue Group,3968,Tokyo,Consumer Cyclicals,Specialty Retailers,/equities/segue-group-co-ltd
,Atled,3969,Tokyo,Technology,Software & IT Services,/equities/atled-corp
,Innovation,3970,Tokyo,Technology,Software & IT Services,/equities/innovation-inc
,TBCSCAT,3974,Tokyo,Technology,Software & IT Services,/equities/tbcscat-inc
,Shanon,3976,Tokyo,Technology,Software & IT Services,/equities/shanon-inc
,Macromill,3978,Tokyo,Consumer Cyclicals,Media & Publishing,/equities/macromill-inc
,Uluru Co,3979,Tokyo,Technology,Software & IT Services,/equities/uluru-co-ltd
,Beaglee,3981,Tokyo,Technology,Software & IT Services,/equities/beaglee-inc
,Oro Co,3983,Tokyo,Technology,Software & IT Services,/equities/oro-co-ltd
,User Local,3984,Tokyo,Technology,Software & IT Services,/equities/user-local-inc
,Temona,3985,Tokyo,Technology,Software & IT Services,/equities/temona-inc
,bBreak Systems,3986,Tokyo,Technology,Software & IT Services,/equities/bbreak-systems-co-ltd
,Ecomott,3987,Tokyo,Technology,Software & IT Services,/equities/ecomott
,SYS Holdings,3988,Tokyo,Technology,Software & IT Services,/equities/sys-holdings-co-ltd
,Sharingtechnology,3989,Tokyo,Technology,Software & IT Services,/equities/sharingtechnology-inc
,UUUM,3990,Tokyo,Technology,Software & IT Services,/equities/uuum
,Wantedly,3991,Tokyo,Technology,Software & IT Services,/equities/wantedly
,Needs Well,3992,Tokyo,Technology,Software & IT Services,/equities/needs-well
,PKSHA,3993,Tokyo,Technology,Software & IT Services,/equities/pksha-tech
,Money Forward,3994,Tokyo,Technology,Software & IT Services,/equities/money-forward
,SKiyaki,3995,Tokyo,Technology,Software & IT Services,/equities/skiyaki-inc
,Signpost,3996,Tokyo,Technology,Software & IT Services,/equities/signpost
,Trade Works,3997,Tokyo,Technology,Software & IT Services,/equities/trade-works
,SuRaLa Net,3998,Tokyo,Industrials,Professional & Commercial Services,/equities/surala-net
,Resonac Holdings,4004,Tokyo,Basic Materials,Chemicals,/equities/showa-denko-k.k.
,Sumitomo Chemical,4005,Tokyo,Basic Materials,Chemicals,"/equities/sumitomo-chemical-co.,-ltd."
,Sumitomo Seika Chemicals,4008,Tokyo,Basic Materials,Chemicals,/equities/sumitomo-seika-chemicals
,Headwaters,4011,Tokyo,Technology,Software & IT Services,/equities/headwaters-co-ltd
,Axis,4012,Tokyo,Technology,Software & IT Services,/equities/axis-co-ltd
,Kinjiro,4013,Tokyo,Technology,Software & IT Services,/equities/nittsusystem-co-ltd
,Karadanote,4014,Tokyo,Technology,Software & IT Services,/equities/karadanote-inc
,Arara,4015,Tokyo,Technology,Software & IT Services,/equities/arara-inc
,Mit,4016,Tokyo,Technology,Software & IT Services,/equities/mit-holdings-co-ltd
,Creema,4017,Tokyo,Consumer Cyclicals,Diversified Retail,/equities/creema-ltd
,Geolocation Technology,4018,Tokyo,Technology,Software & IT Services,/equities/geolocation-technology
,Stamen Co,4019,Tokyo,Industrials,Professional & Commercial Services,/equities/stamen-co
,Betrend Corp,4020,Tokyo,Technology,Software & IT Services,/equities/betrend-corp
,Nissan Chemical Industries,4021,Tokyo,Basic Materials,Chemicals,"/equities/nissan-chemical-industries,-ltd."
,Rasa Industries Ltd,4022,Tokyo,Basic Materials,Chemicals,/equities/rasa-industries-ltd
,Kureha Corp,4023,Tokyo,Basic Materials,Chemicals,/equities/kureha-corp
,Taki Chemical,4025,Tokyo,Basic Materials,Chemicals,/equities/taki-chemical
,Konoshima Chemical,4026,Tokyo,Consumer Cyclicals,Homebuilding & Construction Supplies,/equities/konoshima-chemical-co-ltd
,Tayca Corp,4027,Tokyo,Basic Materials,Chemicals,/equities/tayca-corp
,Ishihara Sangyo Kaisha Ltd,4028,Tokyo,Basic Materials,Chemicals,/equities/ishihara-sangyo-kaisha-ltd
,Katakura Chikkarin,4031,Tokyo,Basic Materials,Chemicals,/equities/katakura-chikkarin
,Nankai Chemical,4040,Tokyo,,,/equities/nankai-chemical
,Nippon Soda,4041,Tokyo,Basic Materials,Chemicals,"/equities/nippon-soda-co.,-ltd."
,Tosoh Corp.,4042,Tokyo,Basic Materials,Chemicals,/equities/tosoh-corp.
,Tokuyama Corp.,4043,Tokyo,Basic Materials,Chemicals,/equities/tokuyama-corp.
,Central Glass Co Ltd,4044,Tokyo,Consumer Cyclicals,Homebuilding & Construction Supplies,/equities/central-glass-co-ltd
,Toagosei Co Ltd,4045,Tokyo,Basic Materials,Chemicals,/equities/toagosei-co-ltd
,Osaka Soda,4046,Tokyo,Basic Materials,Chemicals,/equities/daiso-co-ltd
,Kanto Denka Kogyo,4047,Tokyo,Basic Materials,Chemicals,/equities/kanto-denka-kogyo
,Gmo Financial,4051,Tokyo,Industrials,Professional & Commercial Services,/equities/gmo-financial-gate-inc
,Ficha,4052,Tokyo,Technology,Software & IT Services,/equities/ficha-inc
,Sun,4053,Tokyo,Technology,Software & IT Services,/equities/sun-inc
,Nihon Jyoho,4054,Tokyo,Technology,Software & IT Services,/equities/nihon-jyoho-create-co-ltd
,T And S,4055,Tokyo,Technology,Software & IT Services,/equities/t-and-s-inc
,Neural Pocket,4056,Tokyo,Technology,Software & IT Services,/equities/neural-pocket-inc
,Interfactory,4057,Tokyo,Technology,Software & IT Services,/equities/interfactory-inc
,Toyokumo,4058,Tokyo,Technology,Software & IT Services,/equities/toyokumo-inc
,Magmag,4059,Tokyo,Consumer Cyclicals,Media & Publishing,/equities/magmag-inc
,Rakumo,4060,Tokyo,Technology,Software & IT Services,/equities/rakumo-inc
,Denka,4061,Tokyo,Basic Materials,Chemicals,/equities/denki-kagaku-kogyo-k.k.
,Ibiden Co Ltd,4062,Tokyo,Technology,Semiconductors & Semiconductor Equipment,/equities/ibiden-co-ltd
,Shin-Etsu Chemical,4063,Tokyo,Basic Materials,Chemicals,"/equities/shin-etsu-chemical-co.,-ltd."
,Nippon Carbide Industries,4064,Tokyo,Basic Materials,Chemicals,/equities/nippon-carbide-industries
,Basis,4068,Tokyo,Industrials,Construction & Engineering,/equities/basis
,BlueMeme,4069,Tokyo,Technology,Software & IT Services,/equities/bluememe
,Plus Alpha Consulting Co,4071,Tokyo,Technology,Software & IT Services,/equities/plus-alpha-consulting-co
,Densan System,4072,Tokyo,Technology,Software & IT Services,/equities/densan-system
,Global Communication Planning,4073,Tokyo,Technology,Software & IT Services,/equities/global-communication-planning
,LaKeel,4074,Tokyo,Technology,Software & IT Services,/equities/lakeel
,Brains Technology,4075,Tokyo,Technology,Software & IT Services,/equities/brains-technology
,CNS Co,4076,Tokyo,Technology,Software & IT Services,/equities/cns-co
,Sakai Chemical Industry,4078,Tokyo,Basic Materials,Chemicals,/equities/sakai-chemical-industry
,Tanaka Chemical,4080,Tokyo,Basic Materials,Chemicals,/equities/tanaka-chemical-corp
,Daiichi Kigenso Kagaku Kogyo,4082,Tokyo,Basic Materials,Chemicals,/equities/daiichi-kigenso-kagaku-kogyo-co-ltd
,Air Water Inc,4088,Tokyo,Basic Materials,Chemicals,/equities/air-water-inc
,Taiyo Nippon Sanso Corp,4091,Tokyo,Basic Materials,Chemicals,/equities/taiyo-nippon-sanso-corp
,Nippon Chemical Industry,4092,Tokyo,Basic Materials,Chemicals,/equities/nippon-chemical-industry
,Toho Acetylene,4093,Tokyo,Basic Materials,Chemicals,/equities/toho-acetylene-co-ltd
,Nihon Kagaku Sangyo,4094,Tokyo,Basic Materials,Chemicals,/equities/nihon-kagaku-sangyo-co-ltd
,Nihon Parkerizing,4095,Tokyo,Basic Materials,Chemicals,/equities/nihon-parkerizing
,Koatsu Gas Kogyo,4097,Tokyo,Basic Materials,Chemicals,/equities/koatsu-gas-kogyo
,Titan Kogyo Ltd,4098,Tokyo,Basic Materials,Chemicals,/equities/titan-kogyo-ltd
,Shikoku Chemicals,4099,Tokyo,Basic Materials,Chemicals,/equities/shikoku-chemicals
,Toda Kogyo Corp,4100,Tokyo,Basic Materials,Chemicals,/equities/toda-kogyo-corp
,Maruo Calcium,4102,Tokyo,Basic Materials,Chemicals,/equities/maruo-calcium-co-ltd
,Ise Chemicals,4107,Tokyo,Basic Materials,Chemicals,/equities/ise-chemicals-corp
,Stella Chemifa Corp,4109,Tokyo,Basic Materials,Chemicals,/equities/stella-chemifa-corp
,Hodogaya Chemical,4112,Tokyo,Basic Materials,Chemicals,/equities/hodogaya-chemical
,Taoka Chemical,4113,Tokyo,Basic Materials,Chemicals,/equities/taoka-chemical-co-ltd
,Nippon Shokubai Co Ltd,4114,Tokyo,Basic Materials,Chemicals,/equities/nippon-shokubai-co-ltd
,Dainichiseika Color Chemical,4116,Tokyo,Basic Materials,Chemicals,/equities/dainichiseika-color-chemical
,Kaneka Corp,4118,Tokyo,Basic Materials,Chemicals,/equities/kaneka-corp
,Nippon Pigment,4119,Tokyo,Basic Materials,Chemicals,/equities/nippon-pigment-co-ltd
,Sugai Chemical Industry,4120,Tokyo,Basic Materials,Chemicals,/equities/sugai-chemical-industry-co-ltd
